"",001
"Thu 02-Aug-18   3:20:20 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,2,11,"",1.25635,0,0,0,0,0,0,0.290784,0.0291811,0,0,0,0.100631,0.628275,0.0171908,0.186039,0,0,0,0.00425223,0,0,0,0
"MtrElec",1,2,12,"",1.21187,0,0,0,0,0,0,0.253763,0.0291811,0,0,0,0.0931768,0.628275,0.011721,0.189882,0,0,0,0.00587213,0,0,0,0
"MtrElec",1,2,13,"",1.18464,0,0,0,0,0,0,0.230232,0.0291811,0,0,0,0.0782685,0.628758,0.00937678,0.201736,0,0,0,0.00708706,0,0,0,0
"MtrElec",1,2,14,"",1.99915,0,0,0,0,0,0,0.157105,0.0291811,0,0,0,0.0782685,0.642693,0.00859538,0.19498,0,0,0.881847,0.0064796,0,0,0,0
"MtrElec",1,2,15,"",1.48802,0,0,0,0,0,0,0.122207,0.0291811,0,0,0,0.0782685,0.666083,0.00859538,0.204339,0,0.372466,0,0.00688457,0,0,0,0
"MtrElec",1,2,16,"",1.2081,0,0,0,0,0,0,0.170869,0.0291811,0,0,0,0.0969038,0.686183,0.00937678,0.205052,0,0,0,0.0105293,0,0,0,0
"MtrElec",1,2,17,"",1.43797,0,0,0,0,0,0,0.161651,0.0291811,0,0,0,0.115539,0.77465,0.0148466,0.204264,0,0,0.114549,0.023286,0,0,0,0
"MtrElec",1,2,18,"",2.31012,0,0,0,0,0,0,0.116678,0.0291811,0,0,0,0.163991,0.890989,0.0289117,0.225279,0,0.0483819,0.767631,0.0390801,0,0,0,0
"MtrElec",1,2,19,"",2.06361,0,0,0,0,0,0,0.103866,0.0291811,0,0,0,0.313074,0.968866,0.0382885,0.249666,0,0.324224,0,0.0364477,0,0,0,0
"MtrElec",1,2,20,"",1.96986,0,0,0,0,0,0,0.160393,0.0291811,0,0,0,0.436067,1.01762,0.0507909,0.255972,0,0,0,0.0198438,0,0,0,0
"MtrElec",1,2,21,"",2.00246,0,0,0,0,0,0,0.17434,0.0291811,0,0,0,0.421159,1.06002,0.0711072,0.238144,0,0,0,0.00850447,0,0,0,0
"MtrElec",1,2,22,"",1.94171,0,0,0,0,0,0,0.195473,0.0291811,0,0,0,0.357799,1.05129,0.0820468,0.221866,0,0,0,0.00404975,0,0,0,0
"MtrElec",1,2,23,"",1.69907,0,0,0,0,0,0,0.224964,0.0291811,0,0,0,0.234805,0.932305,0.0711072,0.204277,0,0,0,0.00242985,0,0,0,0
"MtrElec",1,2,24,"",1.20436,0,0,0,0,0,0,0,0.0291811,0,0,0,0.145356,0.801007,0.0492281,0.177565,0,0,0,0.00202487,0,0,0,0
"MtrElec",1,3,1,"",0.988753,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0857226,0.648036,0.0359443,0.188856,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,3,2,"",0.913362,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0708143,0.597667,0.0359443,0.178946,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,3,3,"",0.861459,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0559061,0.567455,0.0351629,0.173147,0,0,0,0.000607462,0,0,0,0
