,,,,Number of,Conditioned,,,,,Proposed Model Site Electric Use,,,,,,,,,,,,Proposed Model Site Natural Gas Use,,,,,,,,,,Proposed Model Site Other Fuel Use,,,,,,,,,,Proposed Model TDV,,,,,,,,,,,,,Proposed Model Electric Demand,,,,,,,,,,,,,Standard Model Site Electric Use,,,,,,,,,,Standard Model Site Natural Gas Use,,,,,,,,,,Standard Model Site Other Fuel Use,,,,,,,,,,Standard Model TDV,,,,,,,,,,,Standard Model Electric Demand,,,,,,,,,,,Software Versions,,,Savings Results,,,,CAHP / CMFNH Results,,,,,,,,,,,,,,,,Proposed Design Rating Model Site Electric Use,,,,,,,,,,,,Proposed  Design Rating Model Site Natural Gas Use,,,,,,,,,,Proposed  Design Rating Model Site Other Fuel Use,,,,,,,,,,Proposed  Design Rating Model TDV,,,,,,,,,,,,Proposed Design Rating Model Electric Demand,,,,,,,,,,,,Reference Design Rating Model Site Electric Use,,,,,,,,,,Reference Design Rating Model Site Natural Gas Use,,,,,,,,,,Reference Design Rating Model Site Other Fuel Use,,,,,,,,,,Reference Design Rating Model TDV (fuel multiplier adjusted),,,,,,,,,,Reference Design Rating Model Electric Demand,,,,,,,,,,Energy Design Ratings,,,,,Compliance Total TDV Results By Fuel (kTDV/ft2-yr),,,,,,,,Proposed PV Scaling,,,Target EDR,,Standard Design PV,,Proposed Design CO2 Emissions,,,Standard Design CO2 Emissions,,,Compliance EDR Margins,,Grid Harmonization Credit,,,,Standard Design PV Results,,,
,Project,,Climate,Dwelling,Area,,Pass /,Compliance,Design,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,PV,Battery,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,PV,Battery,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Comp Total,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,PV,Battery,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Comp Total,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Comp Total,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Comp Total,Compliance,,End User,Total Demand,Compliance Demand,Total TDV,Compliance TDV,EDR Bonus Points,CAHP Delta EDR,Cash Bonus Total,2019 Zone Ready Kicker,2019 Zone Kicker,High Performance Fenestration Kicker,High Performance Attic Kicker,High Performance Wall Kicker,Whole House Fans Kicker,Balanced IAQ Kicker,DOE Zero Energy Kicker,Drain Water Heat Recovery Kicker,Design Charrette Kicker,ENERGYStar Laundry Recycling Kicker,CAHP Base Incentive,CAHP Total Incentive,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,PV,Battery,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,PV Credit,Battery,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,PV,Battery,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Proposed,Proposed,Standard,Standard,Standard,Proposed Model,,Standard Model,,Proposed Design Rating Model,,Reference Design Rating Model,,Max PV,PV Scale,Scaled PV,,Target,Prop Mixed Fuel,Std Design,Self Consumed Solar,Grid Exported Solar,CO2 Generated,Self Consumed Solar,Grid Exported Solar,CO2 Generated,Efficiency,Final,TDV Cap,TDV,Elec Use,Battery,Elec Use,TDV,Demand,
Run Date/Time,Path/File,Run Title,Zone,Units,(ft2),Analysis Type,Fail,Margin,Rating,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),Ruleset,CSE,Application,(kW),(kW),(%),(%),(int),(int),($),($),($),($),($),($),($),($),($),($),($),($),($),($),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kTDV/ft2-yr),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),Excl. PV+Batt,PV+Batt Only,Final EDR,Excl. PV,Min Reqd PV,Electric,Gas,Electric,Gas,Electric,Gas,Electric,Gas,Ratio,Factor,Total kW,EDR,Status,Total kWh,PV kW,(metric ton/yr),(metric ton/yr),(metric ton/yr),(metric ton/yr),(metric ton/yr),(metric ton/yr),(EDR),(EDR),(kTDV/ft2-yr),(kTDV/ft2-yr),(kWh),Ratio,(kWh),(kTDV/ft2-yr),(kW),
"2018-08-02 11:42:13","C:\Users\CLEIT\Desktop\Datasheet Generator\Delete After\KH1170RR.ribd16x","Title 24 Analysis",12,1,1170,"Proposed and Standard","PASS",5.7,,90.6049,286.726,74.8979,0,0,0,0,334.766,825.625,1680.46,70.1862,3363.26,89.4504,0,0,0,79.215,0,37.7086,0,0,206.374,0,0,0,0,0,0,0,0,0,0,15.89,8.41,1.4,0,11.36,0,0,6.6,21.32,32.14,1.28,98.4,37.06,0,0.107452,0.00855249,0,0,0,0,0.0496073,0.113091,0.214748,0.00617867,0.49963,0.116005,87.9356,187.409,74.8979,0,0,334.766,827.82,1680.46,70.1862,3263.47,99.8373,0,0,0,89.6387,0,37.7086,0,0,227.185,0,0,0,0,0,0,0,0,0,0,17.43,11.07,1.4,0,12.86,6.6,21.35,32.14,1.28,104.13,42.76,0,0.315943,0.00855249,0,0,0.0496073,0.113197,0.214748,0.00617867,0.708228,0.324496,"BEMCmpMgr 2016.3.1 (1149)","CSE 0.836 EXE","CBECC-Res 2016.3.1 (1019)",0.208598,0.208491,5.5,13.3,0,,,,,0.00,0.00,200.00,100.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,25.76,13.91,28.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2018-08-02 13:26:54","C:\Users\CLEIT\Desktop\Datasheet Generator\Delete After\KH1170RR.ribd16x","Title 24 Analysis",12,1,1170,"Proposed and Standard","PASS",7.26,,112.774,348.704,74.8979,0,0,0,0,334.766,827.186,1680.46,70.1862,3448.97,111.337,0,0,0,79.215,0,37.7086,0,0,228.26,0,0,0,0,0,0,0,0,0,0,19.77,12.12,1.4,0,11.36,0,0,6.6,21.35,32.14,1.28,106.02,44.65,0,0.195975,0.00855249,0,0,0,0,0.0496073,0.113575,0.214748,0.00617867,0.588638,0.204528,115.801,250.28,74.8979,0,0,334.766,828.22,1680.46,70.1862,3354.61,131.474,0,0,0,89.6387,0,37.7086,0,0,258.821,0,0,0,0,0,0,0,0,0,0,22.96,14.69,1.4,0,12.86,6.6,21.36,32.14,1.28,113.29,51.91,0,0.405064,0.00855249,0,0,0.0496073,0.113294,0.214748,0.00617867,0.797445,0.413616,"BEMCmpMgr 2016.3.1 (1149)","CSE 0.836 EXE","CBECC-Res 2016.3.1 (1019)",0.208807,0.209089,6.4,14,0,,,,,0.00,0.00,200.00,100.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.37,29.28,17.99,33.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2018-08-02 14:24:34","C:\Users\CLEIT\Desktop\Datasheet Generator\Delete After\KH1170RR.ribd16x","Title 24 Analysis",12,1,1170,"Proposed and Standard","PASS",6.51,,113.725,353.693,74.8979,0,0,0,0,334.766,827.235,1680.46,70.1862,3454.96,112.276,0,0,0,79.215,0,37.7086,0,0,229.2,0,0,0,0,0,0,0,0,0,0,19.94,12.7,1.4,0,11.36,0,0,6.6,21.36,32.14,1.28,106.78,45.4,0,0.214355,0.00855249,0,0,0,0,0.0496073,0.113668,0.214748,0.00617867,0.60711,0.222907,115.801,250.28,74.8979,0,0,334.766,828.22,1680.46,70.1862,3354.61,131.474,0,0,0,89.6387,0,37.7086,0,0,258.821,0,0,0,0,0,0,0,0,0,0,22.96,14.69,1.4,0,12.86,6.6,21.36,32.14,1.28,113.29,51.91,0,0.405064,0.00855249,0,0,0.0496073,0.113294,0.214748,0.00617867,0.797445,0.413616,"BEMCmpMgr 2016.3.1 (1149)","CSE 0.836 EXE","CBECC-Res 2016.3.1 (1019)",0.190335,0.190709,5.7,12.5,0,,,,,0.00,0.00,200.00,100.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.97,29.43,17.99,33.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2018-08-02 15:21:27","C:\Users\CLEIT\Desktop\Datasheet Generator\Delete After\KH1170RR.ribd16x","Title 24 Analysis",12,1,1170,"Proposed and Standard","PASS",6.78,,113.525,351.517,74.8979,0,0,0,0,334.766,827.189,1680.46,70.1862,3452.54,112.079,0,0,0,79.215,0,37.7086,0,0,229.002,0,0,0,0,0,0,0,0,0,0,19.9,12.47,1.4,0,11.36,0,0,6.6,21.35,32.14,1.28,106.5,45.13,0,0.207122,0.00855249,0,0,0,0,0.0496073,0.11362,0.214748,0.00617867,0.599829,0.215674,115.801,250.28,74.8979,0,0,334.766,828.22,1680.46,70.1862,3354.61,131.474,0,0,0,89.6387,0,37.7086,0,0,258.821,0,0,0,0,0,0,0,0,0,0,22.96,14.69,1.4,0,12.86,6.6,21.36,32.14,1.28,113.29,51.91,0,0.405064,0.00855249,0,0,0.0496073,0.113294,0.214748,0.00617867,0.797445,0.413616,"BEMCmpMgr 2016.3.1 (1149)","CSE 0.836 EXE","CBECC-Res 2016.3.1 (1019)",0.197616,0.197942,6,13.1,0,,,,,0.00,0.00,200.00,100.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.73,29.4,17.99,33.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
